==6138== NVPROF is profiling process 6138, command: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6138== Profiling application: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Profiling result:
==6138== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gld_transactions","Global Load Transactions",56450,56450,56450
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gst_transactions","Global Store Transactions",3250,3250,3250
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_read_transactions","L2 Read Transactions",16670,17438,16923
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_write_transactions","L2 Write Transactions",3263,3264,3263
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gld_requested_throughput","Requested Global Load Throughput",20.381638GB/s,20.640769GB/s,20.517597GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gst_requested_throughput","Requested Global Store Throughput",4.731452GB/s,4.791607GB/s,4.763014GB/s
